,nazwa,link,data
0,TBA,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-9,2024-03-06 17:15
1,TBA,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-8,2024-02-28 17:15
2,TBA,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-12,2024-01-24 17:15
3,Układy dynamiczne oraz pewne problemy analizy zespolonej i geometrii (Dynamical systems and some problems in complex analysis and geometry),https://www.mimuw.edu.pl/aktualnosci/seminaria/uklady-dynamiczne-oraz-pewne-problemy-analizy-zespolonej-i-geometrii-dynamical,2024-01-18 14:30
4,Groups of order p^4 as additive groups of local nearrings,https://www.mimuw.edu.pl/aktualnosci/seminaria/groups-order-p4-additive-groups-local-nearrings,2024-01-18 12:15
5,TBA,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-11,2024-01-17 17:15
6,Techniques for the evolution of random graphs models; key applications and future directions.,https://www.mimuw.edu.pl/aktualnosci/seminaria/techniques-evolution-random-graphs-models-key-applications-and-future,2024-01-17 14:15
7,  Zastosowanie odległości Wassersteina do analizy modeli mieszanin Gaussowskich,https://www.mimuw.edu.pl/aktualnosci/seminaria/zastosowanie-odleglosci-wassersteina-do-analizy-modeli-mieszanin-gaussowskich,2024-01-12 16:15
8,Strong density in Sobolev spaces to manifolds,https://www.mimuw.edu.pl/aktualnosci/seminaria/strong-density-sobolev-spaces-manifolds,2024-01-11 12:30
9,ByteStore: Hybrid Layouts for Main-Memory Column Stores,https://www.mimuw.edu.pl/aktualnosci/seminaria/bytestore-hybrid-layouts-main-memory-column-stores,2024-01-11 12:15
10,Ciekawostki o kwaternionach,https://www.mimuw.edu.pl/aktualnosci/seminaria/ciekawostki-o-kwaternionach,2024-01-11 12:15
11,GENERALIZATIONS OF YETTER-DRINFEL'D MODULES AND THE CENTER CONSTRUCTION OF MONOIDAL CATEGORIES,https://www.mimuw.edu.pl/aktualnosci/seminaria/generalizations-yetter-drinfeld-modules-and-center-construction-monoidal,2024-01-10 17:15
12, Concentrated sets in the Miller model,https://www.mimuw.edu.pl/aktualnosci/seminaria/concentrated-sets-miller-model,2024-01-10 16:15
13,Pewne aspekty mechanizmów molekularnych cyklu komórkowego i wzrost diauksyczny w ujęciu matematycznym,https://www.mimuw.edu.pl/aktualnosci/seminaria/pewne-aspekty-mechanizmow-molekularnych-cyklu-komorkowego-i-wzrost-diauksyczny,2024-01-10 14:15
14,Learning to rank and experiment prioritization,https://www.mimuw.edu.pl/aktualnosci/seminaria/learning-rank-and-experiment-prioritization,2024-01-10 10:15
15,InfiniStore: Elastic Serverless Cloud Storage,https://www.mimuw.edu.pl/aktualnosci/seminaria/infinistore-elastic-serverless-cloud-storage,2023-12-21 12:15
16,THE SCHOCHET SPECTRAL SEQUENCE FOR NONCOMMUTATIVE CW-COMPLEXES,https://www.mimuw.edu.pl/aktualnosci/seminaria/schochet-spectral-sequence-noncommutative-cw-complexes,2023-12-20 17:15
17,A countably tight P(K) space admitting a nonseparable measure,https://www.mimuw.edu.pl/aktualnosci/seminaria/countably-tight-pk-space-admitting-nonseparable-measure,2023-12-20 16:15
18,"""Ogonowa asymptotyka kopuli""",https://www.mimuw.edu.pl/aktualnosci/seminaria/ogonowa-asymptotyka-kopuli,2023-12-20 14:15
19,Playing stochastically in Weighted Timed Games to Emulate Memory,https://www.mimuw.edu.pl/aktualnosci/seminaria/playing-stochastically-weighted-timed-games-emulate-memory,2023-12-20 14:15
20,Funktorialne teorie pola,https://www.mimuw.edu.pl/aktualnosci/seminaria/funktorialne-teorie-pola,2023-12-20 10:30
21,Molecular signature of primate astrocytes reveals pathways and regulatory changes contributing to the human brain evolution,https://www.mimuw.edu.pl/aktualnosci/seminaria/molecular-signature-primate-astrocytes-reveals-pathways-and-regulatory-changes,2023-12-20 10:15
22,EvenDB: Optimizing Key-Value Storage for Spatial Locality,https://www.mimuw.edu.pl/aktualnosci/seminaria/evendb-optimizing-key-value-storage-spatial-locality,2023-12-14 12:15
23,Degenerate quadrics do not really exist and why this is useful,https://www.mimuw.edu.pl/aktualnosci/seminaria/degenerate-quadrics-do-not-really-exist-and-why-useful,2023-12-14 12:15
24,Coercive inequalities for Gibbs measures ,https://www.mimuw.edu.pl/aktualnosci/seminaria/coercive-inequalities-gibbs-measures,2023-12-14 12:15
25,GEOMETRIC METHODS IN BRAIDED VECTOR SPACES AND THEIR NICHOLS ALGEBRAS,https://www.mimuw.edu.pl/aktualnosci/seminaria/geometric-methods-braided-vector-spaces-and-their-nichols-algebras,2023-12-13 17:15
26,"Compacta and their homeomorphism groups from posets, part 2",https://www.mimuw.edu.pl/aktualnosci/seminaria/compacta-and-their-homeomorphism-groups-posets-part-2,2023-12-13 16:15
27,The Impact of Time Delay on Mutant Fixation in Evolutionary Games,https://www.mimuw.edu.pl/aktualnosci/seminaria/impact-time-delay-mutant-fixation-evolutionary-games,2023-12-13 14:15
28,Zeroness of weighted basic parallel processes and other finitely generated classes of series,https://www.mimuw.edu.pl/aktualnosci/seminaria/zeroness-weighted-basic-parallel-processes-and-other-finitely-generated,2023-12-13 14:15
29,Statistical methods in clinical trials with focus on Bayesian borrowing,https://www.mimuw.edu.pl/aktualnosci/seminaria/statistical-methods-clinical-trials-focus-bayesian-borrowing,2023-12-13 10:15
30,Maciej Gałązka,https://www.mimuw.edu.pl/doktoraty/maciej-galazka,2023-12-15 16:00
31,Rafał Stefański,https://www.mimuw.edu.pl/doktoraty/rafal-stefanski,2023-12-15 14:15
32,Mateusz Dębowski,https://www.mimuw.edu.pl/doktoraty/mateusz-debowski,2024-01-11 16:00
33,Barbara Poszewiecka,https://www.mimuw.edu.pl/doktoraty/barbara-poszewiecka,2023-12-13 14:15
34,Sebastian Stawicki,https://www.mimuw.edu.pl/doktoraty/sebastian-stawicki,2024-01-11 14:00
